date,method,eps,min_samples,n_components,n_noise
1998-05-25,A,2.5,5,2,6
1998-05-25,A,2.5,6,2,6
1998-05-25,A,2.5,7,2,6
1998-05-25,A,2.5,8,2,6
1998-05-25,A,2.5,9,2,7
1998-05-25,A,2.5,10,2,7
1998-05-25,A,2.5,11,2,8
1998-05-25,A,2.5,12,4,11
1998-05-25,A,3.0,4,2,5
1998-05-25,A,3.0,5,2,5
1998-05-25,A,3.0,6,2,6
1998-05-25,A,3.0,7,2,6
1998-05-25,A,3.0,8,2,6
1998-05-25,A,3.0,9,2,6
1998-05-25,A,3.0,10,2,6
1998-05-25,A,3.0,11,2,6
1998-05-25,A,3.0,12,2,6
1998-05-25,A,3.5,4,2,3
1998-05-25,A,3.5,5,2,4
1998-05-25,A,3.5,6,2,4
1998-05-25,A,3.5,7,2,4
1998-05-25,A,3.5,8,2,4
1998-05-25,A,3.5,9,2,4
1998-05-25,A,3.5,10,2,4
1998-05-25,A,3.5,11,2,4
1998-05-25,A,3.5,12,2,4
1998-05-25,A,4.0,4,2,0
1998-05-25,A,4.0,5,2,2
1998-05-25,A,4.0,6,2,2
1998-05-25,A,4.0,7,2,2
1998-05-25,A,4.0,8,2,2
1998-05-25,A,4.0,9,2,2
1998-05-25,A,4.0,10,2,2
1998-05-25,A,4.0,11,2,2
1998-05-25,A,4.0,12,2,2
1998-05-26,A,1.0,4,4,13
1998-05-26,A,1.0,5,6,59
1998-05-26,A,1.0,6,0,371
1998-05-26,A,1.0,7,0,371
1998-05-26,A,1.0,8,0,371
1998-05-26,A,1.0,9,0,371
1998-05-26,A,1.0,10,0,371
1998-05-26,A,1.0,11,0,371
1998-05-26,A,1.0,12,0,371
1998-05-26,A,1.5,4,3,8
1998-05-26,A,1.5,5,3,10
1998-05-26,A,1.5,6,3,12
1998-05-26,A,1.5,7,5,28
1998-05-26,A,1.5,8,5,45
1998-05-26,A,1.5,9,4,77
1998-05-26,A,1.5,10,0,371
1998-05-26,A,1.5,11,0,371
1998-05-26,A,1.5,12,0,371
1998-05-26,A,2.0,4,2,5
1998-05-26,A,2.0,5,2,6
1998-05-26,A,2.0,6,3,6
1998-05-26,A,2.0,7,3,6
1998-05-26,A,2.0,8,3,14
1998-05-26,A,2.0,9,4,24
1998-05-26,A,2.0,10,4,40
1998-05-26,A,2.0,11,5,48
1998-05-26,A,2.0,12,4,80
1998-05-26,A,2.5,4,2,5
1998-05-26,A,2.5,5,2,5
1998-05-26,A,2.5,6,2,5
1998-05-26,A,2.5,7,2,6
1998-05-26,A,2.5,8,2,6
1998-05-26,A,2.5,9,3,6
1998-05-26,A,2.5,10,3,7
1998-05-26,A,2.5,11,3,8
1998-05-26,A,2.5,12,4,20
1998-05-26,A,3.0,4,2,3
1998-05-26,A,3.0,5,2,4
1998-05-26,A,3.0,6,2,4
1998-05-26,A,3.0,7,2,4
1998-05-26,A,3.0,8,2,4
1998-05-26,A,3.0,9,2,4
1998-05-26,A,3.0,10,2,4
1998-05-26,A,3.0,11,2,4
1998-05-26,A,3.0,12,3,5
1998-05-26,A,3.5,4,2,3
1998-05-26,A,3.5,5,2,3
1998-05-26,A,3.5,6,2,4
1998-05-26,A,3.5,7,2,4
1998-05-26,A,3.5,8,2,4
1998-05-26,A,3.5,9,2,4
1998-05-26,A,3.5,10,2,4
1998-05-26,A,3.5,11,2,4
1998-05-26,A,3.5,12,2,4
1998-05-26,A,4.0,4,2,0
1998-05-26,A,4.0,5,2,2
1998-05-26,A,4.0,6,2,2
1998-05-26,A,4.0,7,2,2
1998-05-26,A,4.0,8,2,2
1998-05-26,A,4.0,9,2,2
1998-05-26,A,4.0,10,2,2
1998-05-26,A,4.0,11,2,2
1998-05-26,A,4.0,12,2,2
1998-08-01,A,1.0,4,11,13
1998-08-01,A,1.0,5,15,67
1998-08-01,A,1.0,6,0,434
1998-08-01,A,1.0,7,0,434
1998-08-01,A,1.0,8,0,434
1998-08-01,A,1.0,9,0,434
1998-08-01,A,1.0,10,0,434
1998-08-01,A,1.0,11,0,434
1998-08-01,A,1.0,12,0,434
1998-08-01,A,1.5,4,5,6
1998-08-01,A,1.5,5,5,8
1998-08-01,A,1.5,6,5,10
1998-08-01,A,1.5,7,4,30
1998-08-01,A,1.5,8,7,59
1998-08-01,A,1.5,9,8,114
1998-08-01,A,1.5,10,0,434
1998-08-01,A,1.5,11,0,434
1998-08-01,A,1.5,12,0,434
1998-08-01,A,2.0,4,4,6
1998-08-01,A,2.0,5,4,6
1998-08-01,A,2.0,6,4,7
1998-08-01,A,2.0,7,5,11
1998-08-01,A,2.0,8,3,27
1998-08-01,A,2.0,9,3,31
1998-08-01,A,2.0,10,4,41
1998-08-01,A,2.0,11,6,64
1998-08-01,A,2.0,12,8,101
1998-08-01,A,2.5,4,3,5
1998-08-01,A,2.5,5,3,5
1998-08-01,A,2.5,6,3,5
1998-08-01,A,2.5,7,3,5
1998-08-01,A,2.5,8,3,5
1998-08-01,A,2.5,9,4,9
1998-08-01,A,2.5,10,4,10
1998-08-01,A,2.5,11,3,21
1998-08-01,A,2.5,12,3,24
1998-08-01,A,3.0,4,2,2
